year,month,day,price,downpmt,monthdue,payment_left,monthly_payment,pmttype,credit_score,age,gender,default
2020,1,18,302.9,100,9,202.9,22.54444444,1,0,0,2,1
2020,2,5,1140,150,4.46,990,221.9730942,1,0,0,2,0
2020,5,12,856.8,100,4.12,756.8,183.6893204,1,1,0,1,0
2020,10,23,1117.14,275,1.48,842.14,569.0135135,4,0,0,2,0
2020,2,2,1281,1281,6,0,0,1,1,0,2,0
2020,9,22,231.17,231.17,10,0,0,1,0,0,2,0
2020,7,2,1221.06,125,2.75,1096.06,398.5672727,4,0,0,2,0
2020,10,3,1523.61,100,5.5,1423.61,258.8381818,4,0,0,1,0
2020,6,12,1307,1307,8.5,0,0,1,0,0,2,0
2020,12,8,206.4,206.4,10,0,0,1,0,0,2,0
2020,10,7,1200.22,1200.22,9.5,0,0,1,0,0,2,0
2020,9,21,1248.12,75,2.75,1173.12,426.5890909,4,5,0,1,0
2020,2,23,1198,50,5.5,1148,208.7272727,3,0,0,2,0
2020,1,24,1179,25,10,1154,115.4,1,0,0,2,0
2020,5,7,2393,1196.5,6,1196.5,199.4166667,5,0,0,1,0
2020,7,6,469,19,2.75,450,163.6363636,4,1,0,2,0
2020,10,25,529.34,264.67,8,264.67,33.08375,4,6,0,1,0
2020,6,15,1428,50,5.5,1378,250.5454545,1,0,0,1,0
2020,11,18,1627,300,10,1327,132.7,4,0,0,2,0
2020,12,3,249,249,6,0,0,1,6,0,2,0
2020,5,8,783.29,783.29,10.5,0,0,1,6,0,1,0
2020,5,7,215.42,215.42,10,0,0,1,1,0,1,0
2020,2,21,1727.63,500,2.75,1227.63,446.4109091,4,0,0,2,0
2020,10,24,529.34,529.34,8,0,0,1,0,0,2,0
2020,10,20,1428,100,10,1328,132.8,1,1,0,2,0
2020,7,20,215.42,215.42,8,0,0,1,0,0,2,0
2020,7,18,1545.81,150,2.75,1395.81,507.5672727,3,0,0,1,0
2020,4,15,1328,150,2.75,1178,428.3636364,3,0,0,2,0
2020,2,2,1186.77,175,2.75,1011.77,367.9163636,4,4,0,2,0
2020,6,20,1677,300,10,1377,137.7,5,0,0,1,0
2020,11,18,1546,1546,6,0,0,1,0,0,1,0
2020,10,2,1428,100,10,1328,132.8,1,0,0,2,1
2020,10,23,1246.42,75,2.75,1171.42,425.9709091,1,1,0,2,0
2020,7,16,686.99,100,2.75,586.99,213.4509091,1,3,0,2,0
2020,5,11,1428,50,10,1378,137.8,3,1,0,2,0
2020,7,8,1646,425,2.75,1221,444,1,0,0,1,0
2020,8,2,469,19,2.75,450,163.6363636,4,0,0,2,0
2020,4,5,1505.99,1505.99,7,0,0,1,3,0,2,0
2020,3,2,1221,1017.5,8.5,203.5,23.94117647,1,0,0,1,0
2020,11,3,1223.62,75,11,1148.62,104.42,5,0,0,1,0
2020,2,14,549,549,10.5,0,0,1,5,0,1,0
2020,7,17,599,10,5.5,589,107.0909091,3,0,0,2,0
2020,3,4,2358,100,10,2258,225.8,1,0,0,1,1
2020,11,20,1215.42,1215.42,6,0,0,1,0,0,1,0
2020,4,18,1626,250,8.5,1376,161.8823529,1,3,0,2,0
2020,4,4,215.42,215.42,8,0,0,1,0,0,1,0
2020,12,6,465.43,100,13,365.43,28.11,1,0,0,2,0
2020,5,3,1183,65,5.5,1118,203.2727273,4,1,0,2,0
2020,5,19,1545.81,50,5.96,1495.81,250.9748322,1,0,0,1,1
2020,1,23,1117.13,100,11,1017.13,92.46636364,1,0,0,2,0
2020,6,23,599,25,5.5,574,104.3636364,1,1,0,2,0
2020,2,20,1197,51,9,1146,127.3333333,1,3,0,2,0
2020,10,9,489,489,8.5,0,0,1,6,0,2,0
2020,6,2,1545.81,71,5.96,1474.81,247.4513423,1,0,0,2,1
2020,11,24,1718,10,12,1708,142.3333333,1,0,0,1,1
2020,5,4,231.17,115.59,10,115.58,11.558,1,6,0,1,0
2020,7,11,269,175,10.5,94,8.952380952,4,0,0,1,0
2020,10,6,529.34,529.34,6,0,0,1,6,0,2,0
2020,11,23,489,200,8.5,289,34,5,1,0,2,0
2020,10,18,1221,1221,8.5,0,0,1,0,0,1,0
2020,5,16,1228,125,8.5,1103,129.7647059,3,1,0,1,0
2020,10,1,1145.29,100,5.5,1045.29,190.0527273,3,3,0,2,0
2020,4,19,1377,1377,6,0,0,1,0,0,1,0
2020,2,21,549,150,5.5,399,72.54545455,4,0,0,2,0
2020,12,2,323.67,323.67,10.5,0,0,1,1,0,2,0
2020,5,1,1228,175,8.5,1053,123.8823529,1,0,0,2,0
2020,8,1,1148,275,5.5,873,158.7272727,3,0,0,1,0
2020,8,21,1178,50,5.5,1128,205.0909091,4,1,0,1,0
2020,2,11,647.34,647.34,6,0,0,1,1,0,2,0
2020,1,5,1058,80,5.5,978,177.8181818,4,0,0,2,0
2020,8,16,935.99,175,5.5,760.99,138.3618182,4,0,0,2,0
2020,7,20,1108,70,8.5,1038,122.1176471,1,0,0,2,1
2020,7,12,1098,1098,7,0,0,1,0,0,2,0
2020,6,9,1148,175,5.5,973,176.9090909,4,0,0,1,0
2020,10,20,394,394,8,0,0,1,0,0,1,0
2020,9,23,529.34,529.34,6,0,0,1,0,0,1,0
2020,3,3,1191.99,175,5.5,1016.99,184.9072727,5,3,0,1,0
2020,1,19,1105.47,100,14,1005.47,71.81928571,1,0,0,2,1
2020,4,9,489,51,24,438,18.25,4,1,0,2,0
2020,10,16,1249.09,51,5.5,1198.09,217.8345455,1,0,0,2,0
2020,7,22,998.97,125,6,873.97,145.6616667,4,5,0,2,0
2020,2,16,948.4,948.4,6,0,0,1,6,0,1,0
2020,7,12,323.67,323.67,6,0,0,1,4,0,2,0
2020,5,1,1148.3,698,8.5,450.3,52.97647059,5,1,0,1,0
2020,12,19,2323.84,1800,5.5,523.84,95.24363636,1,6,0,2,0
2020,4,2,899,100,5.5,799,145.2727273,1,0,0,2,0
2020,1,22,599,5,2.75,594,216,1,0,0,1,1
2020,4,17,215.42,215.42,10,0,0,1,0,0,1,0
2020,4,23,2039.96,2039.96,10.5,0,0,1,0,0,1,0
2020,7,22,599,5,8.5,594,69.88235294,4,0,0,2,0
2020,12,8,1490.6,1490.6,7,0,0,1,0,0,2,0
2020,1,8,323.67,323.67,10.5,0,0,1,3,0,2,0
2020,3,22,1397,1397,6,0,0,1,6,0,1,0
2020,11,18,1565.25,300,5.83,1265.25,217.0240137,4,1,0,2,0
2020,9,9,323.67,323.67,10.5,0,0,1,0,0,1,0
2020,12,11,949,50,5.5,899,163.4545455,1,7,0,1,0
2020,4,22,1297,1297,6,0,0,1,0,0,2,0
2020,3,15,879,879,6,0,0,1,0,0,2,0
2020,5,17,1215.42,1215.42,6,0,0,1,0,0,1,0
2020,2,17,1048,150,5.5,898,163.2727273,1,0,0,1,1
2020,10,4,529.34,529.34,6,0,0,1,0,0,1,0
2020,12,4,1148,100,5.5,1048,190.5454545,1,0,0,2,1
2020,1,20,645.43,5,5.5,640.43,116.4418182,3,0,0,2,0
2020,7,9,1328,100,10,1228,122.8,4,0,0,1,0
2020,6,25,249,249,10,0,0,1,0,0,2,0
2020,3,19,1008,252,8.5,756,88.94117647,5,0,0,2,0
2020,3,12,849,849,6,0,0,1,6,0,2,0
2020,6,1,1647,200,8.5,1447,170.2352941,1,0,0,2,0
2020,12,4,642.94,642.94,12,0,0,1,0,0,1,0
2020,9,21,379,379,8,0,0,1,5,0,1,0
2020,12,22,1414.83,1414.83,8.5,0,0,1,0,0,1,0
2020,1,13,1278,44,9,1234,137.1111111,1,0,0,2,1
2020,9,16,1913.64,325,4,1588.64,397.16,5,0,0,2,0
2020,4,14,949,50,4,899,224.75,5,0,0,2,1
2020,10,20,1178,175,9,1003,111.4444444,3,1,0,2,0
2020,10,4,1483.72,1483.72,6,0,0,1,1,0,2,0
2020,9,25,948,175,3,773,257.6666667,5,0,0,2,0
2020,3,4,978,978,6,0,0,1,0,0,1,0
2020,5,19,1768,1768,5.5,0,0,1,1,0,1,0
2020,2,12,1053.8,1053.8,3,0,0,1,0,0,1,0
2020,9,3,215.42,215.42,8,0,0,1,0,0,2,0
2020,2,24,1058.69,175,4.36,883.69,202.6811927,4,0,0,1,0
2020,5,17,423.88,423.88,96,0,0,1,0,0,1,0
2020,9,2,486.04,486.04,4.33,0,0,1,0,0,2,0
2020,2,25,1643.67,1643.67,3,0,0,1,1,0,2,0
2020,9,18,249,249,12,0,0,1,6,0,2,0
2020,9,5,3175.76,3175.76,9,0,0,1,0,0,2,0
2020,1,20,1166.94,45,4,1121.94,280.485,1,0,0,2,0
2020,6,25,1489.52,1489.52,6,0,0,1,1,0,2,0
2020,2,14,1590.39,350,4,1240.39,310.0975,5,1,0,1,0
2020,6,14,0,0,12,0,0,1,0,0,1,0
2020,4,11,215.42,215.42,8,0,0,1,0,0,2,0
2020,11,4,1058.69,1058.69,6,0,0,1,0,0,1,0
2020,4,12,1377.05,125,11,1252.05,113.8227273,1,0,0,2,1
2020,4,21,1383.44,100,11,1283.44,116.6763636,1,0,0,2,1
2020,3,9,1116.99,559,7,557.99,79.71285714,1,5,0,1,0
2020,3,3,265.81,265.81,12,0,0,1,0,0,1,0
2020,2,10,1147,1147,6,0,0,1,1,0,2,0
2020,8,22,1275.19,100,11,1175.19,106.8354545,1,0,0,2,1
2020,5,7,591.34,591.34,13.2,0,0,1,8,0,1,0
2020,4,25,958,44,4,914,228.5,1,3,0,2,0
2020,12,25,1427,250,9,1177,130.7777778,4,6,0,1,0
2020,5,3,1858,300,9,1558,173.1111111,4,1,0,1,0
2020,9,3,1297,100,6,1197,199.5,5,0,0,1,0
2020,7,9,211.93,211.93,9,0,0,1,1,0,2,0
2020,12,15,898,898,3,0,0,1,0,0,2,0
2020,12,21,1631.99,1631.99,6,0,0,1,0,0,2,0
2020,2,15,1178,51,5,1127,225.4,4,0,0,2,0
2020,2,9,523,523,11,0,0,1,1,0,2,0
2020,2,16,1278,275,5,1003,200.6,1,0,0,1,0
2020,2,21,1178,175,9,1003,111.4444444,5,6,0,1,0
2020,8,12,449,19,4,430,107.5,1,0,0,2,0
2020,12,5,1397,225,4,1172,293,1,0,0,2,0
2020,1,5,1065.02,25,4.14,1040.02,251.2125604,1,0,0,1,1
2020,3,10,928.79,100,4,828.79,207.1975,4,0,0,2,0
2020,11,19,453.68,453.68,9,0,0,1,7,0,1,0
2020,10,11,879,50,14,829,59.21428571,4,3,0,2,0
2020,2,7,249,249,12,0,0,1,0,0,1,0
2020,12,11,978,978,6,0,0,1,1,0,2,0
2020,9,21,1173,75,11,1098,99.81818182,1,0,0,2,0
2020,6,13,394,394,9,0,0,1,6,0,2,0
2020,9,4,1219.98,100,11,1119.98,101.8163636,4,0,0,2,0
2020,10,13,1178,175,9,1003,111.4444444,1,3,0,1,0
2020,4,21,884.99,125,7,759.99,108.57,1,0,0,2,0
2020,12,14,1958,100,9,1858,206.4444444,4,0,0,2,0
2020,6,16,1427,100,9,1327,147.4444444,3,0,0,2,0
2020,4,4,1248,75,5.5,1173,213.2727273,1,1,0,2,0
2020,3,5,908,50,2.75,858,312,3,1,0,1,0
2020,10,25,1476,1476,3,0,0,1,0,0,2,0
2020,5,20,1327,125,8.5,1202,141.4117647,3,0,0,2,0
2020,2,8,977.67,977.67,3,0,0,1,6,0,2,0
2020,1,16,538.99,5,4,533.99,133.4975,4,0,0,2,0
2020,12,8,439.5,439.5,8,0,0,1,4,0,1,0
2020,1,20,1239.43,175,14,1064.43,76.03071429,4,1,0,1,0
2020,5,5,1925,175,5.5,1750,318.1818182,1,0,0,1,1
2020,10,15,489,489,8,0,0,1,0,0,2,0
2020,6,22,1007.99,1007.99,6,0,0,1,1,0,2,0
2020,7,21,1377,200,8.5,1177,138.4705882,1,0,0,2,0
2020,12,4,1128,100,6,1028,171.3333333,5,1,0,2,0
2020,5,6,429,429,10,0,0,1,0,0,2,0
2020,7,6,475.22,475.22,8,0,0,1,1,0,1,0
2020,10,11,299.28,299.28,10,0,0,1,0,0,1,0
2020,12,12,1007.99,1007.99,6,0,0,1,1,0,2,0
2020,11,15,2044,175,11,1869,169.9090909,5,0,0,2,0
2020,5,24,928,928,7,0,0,1,0,0,2,0
2020,11,12,1397,150,2.75,1247,453.4545455,1,0,0,1,1
2020,9,21,929,50,21,879,41.85714286,1,0,0,1,0
2020,7,13,840.29,1,17,839.29,49.37,1,0,0,2,1
2020,9,18,1059.77,1,5.96,1058.77,177.6459732,1,0,0,2,1
2020,4,17,1301.37,1301.37,6,0,0,1,5,0,1,0
2020,10,10,1270.98,26,5.69,1244.98,218.801406,1,0,0,2,0
2020,10,20,1198,50,2.75,1148,417.4545455,4,1,0,2,0
2020,9,2,648.42,1,4,647.42,161.855,4,1,0,1,0
2020,5,21,1047.99,30,2.75,1017.99,370.1781818,5,0,0,2,1
2020,1,24,599,1,4,598,149.5,1,0,0,1,1
2020,11,1,1377,150,5.5,1227,223.0909091,4,0,0,2,0
2020,2,1,599,1,4,598,149.5,1,0,0,1,0
2020,10,22,1048,175,5.5,873,158.7272727,5,1,0,1,0
2020,1,3,1301.17,100,5.5,1201.17,218.3945455,4,4,0,1,0
2020,12,21,1371,57,10,1314,131.4,4,3,0,1,0
2020,8,1,1875,350,8.5,1525,179.4117647,1,3,0,2,0
2020,1,2,1328,175,10,1153,115.3,5,4,0,1,0
2020,5,15,1209.78,275,5.5,934.78,169.96,4,0,0,1,0
2020,4,16,733.79,150,14,583.79,41.69928571,1,0,0,2,1
2020,2,17,899,100,5.5,799,145.2727273,1,0,0,2,1
2020,6,22,1198,50,5.5,1148,208.7272727,4,0,0,1,0
2020,12,23,799,799,6,0,0,1,1,0,1,0
2020,6,24,1290.33,1290.33,6,0,0,1,0,0,2,0
2020,5,15,1031.99,75,17,956.99,56.29352941,4,3,0,2,0
2020,2,5,959.76,479.88,11,479.88,43.62545455,1,1,0,2,0
2020,3,22,930.86,930.86,12,0,0,1,3,0,1,0
2020,11,11,1031.99,75,17,956.99,56.29352941,1,1,0,2,0
2020,2,12,999,40,5.5,959,174.3636364,1,0,0,1,1
2020,8,21,429,429,11,0,0,1,3,0,2,0
2020,11,6,498.5,0,0,498.5,498.5,1,1,0,2,0
2020,12,5,205.36,205.36,96,0,0,1,1,0,1,0
2020,10,11,1476.83,150,9,1326.83,147.4255556,5,1,0,2,0
2020,4,16,215.42,215.42,9,0,0,1,6,0,2,0
2020,8,11,1221.06,610.53,9,610.53,67.83666667,5,0,0,1,0
2020,9,18,529.34,529.34,8,0,0,1,0,0,2,0
2020,4,14,1079,100,10,979,97.9,4,0,0,1,0
2020,2,9,718,44,2.75,674,245.0909091,1,0,0,2,1
2020,1,18,1328,275,10,1053,105.3,5,0,0,2,0
2020,9,11,1128,125,8.5,1003,118,5,0,0,2,0
2020,5,11,449,19,4,430,107.5,5,1,0,1,0
2020,6,13,1328,1328,9,0,0,1,0,0,1,0
2020,2,15,1079,250,10,829,82.9,4,0,0,1,0
2020,5,3,1128,1128,6,0,0,1,0,0,2,0
2020,1,7,1275.19,175,4,1100.19,275.0475,5,0,0,2,0
2020,8,23,1397,175,14,1222,87.28571429,1,0,0,1,0
2020,7,7,1029,50,4,979,244.75,1,0,0,1,1
2020,8,6,1437.56,150,6,1287.56,214.5933333,4,0,0,2,0
2020,11,23,1275.19,1275.19,6,0,0,1,0,0,2,0
2020,8,13,1221.05,125,4,1096.05,274.0125,4,4,0,2,0
2020,11,13,1036.69,1036.69,6,0,0,1,1,0,2,0
2020,5,21,1698,1698,6,0,0,1,0,0,1,0
2020,8,5,299.28,299.28,10,0,0,1,0,0,1,0
2020,4,12,951.52,951.52,4,0,0,1,0,0,1,0
2020,8,7,211.44,211.44,8,0,0,1,1,0,1,0
2020,5,15,489,100,4,389,97.25,4,0,0,1,0
2020,7,21,1676,1276,6,400,66.66666667,1,0,0,2,0
2020,10,23,1618.24,175,4.25,1443.24,339.5858824,4,4,0,2,0
2020,8,14,966.15,50,4,916.15,229.0375,5,3,0,1,0
2020,4,6,489,100,8.5,389,45.76470588,1,1,0,1,0
2020,11,2,1354.36,500,4.25,854.36,201.0258824,4,0,0,2,0
2020,3,1,523.52,25,4.25,498.52,117.2988235,1,0,0,1,0
2020,11,1,449,19,4,430,107.5,5,0,0,1,0
2020,3,20,1646,325,4,1321,330.25,1,1,0,1,0
2020,5,10,398.31,398.31,9,0,0,1,1,0,2,0
2020,1,15,1209.78,100,4,1109.78,277.445,4,1,0,2,0
2020,3,12,489,489,8,0,0,1,0,0,2,0
2020,10,13,269.54,269.54,3,0,0,1,0,0,2,0
2020,7,10,1004.55,125,4,879.55,219.8875,4,8,0,2,0
2020,9,14,1060.8,44,11,1016.8,92.43636364,1,1,0,1,0
2020,11,13,672,150,14,522,37.28571429,1,0,0,2,1
2020,10,13,1808.99,200,4.25,1608.99,378.5858824,4,0,0,1,0
2020,3,1,423.87,423.87,8,0,0,1,6,0,1,0
2020,6,4,1153,75,4,1078,269.5,5,6,0,1,0
2020,8,16,3442.3,3442.3,6,0,0,1,0,0,1,0
2020,3,19,1195.68,175,6,1020.68,170.1133333,4,0,0,1,0
2020,1,13,1707.1,300,4,1407.1,351.775,1,0,0,1,1
2020,3,18,249,249,15,0,0,1,0,0,2,0
2020,7,10,489,25,4,464,116,4,6,0,2,0
2020,5,22,1651.9,1651.9,6,0,0,1,0,0,1,0
2020,4,23,406.48,406.48,12.1,0,0,1,0,0,1,0
2020,9,6,809,35,4,774,193.5,1,6,0,1,0
2020,9,9,898,38,4,860,215,1,0,0,1,0
2020,9,17,462.34,100,21,362.34,17.25428571,3,3,0,2,0
2020,4,9,1028,125,9,903,100.3333333,5,6,0,1,0
2020,7,5,1826,1826,9,0,0,1,6,0,1,0
2020,8,11,1148,100,12,1048,87.33333333,4,0,0,2,0
2020,1,1,899,5,4,894,223.5,1,3,0,1,0
2020,9,21,945.72,75,7,870.72,124.3885714,5,5,0,2,0
2020,6,19,1128,100,12,1028,85.66666667,5,0,0,2,0
2020,4,21,499.49,27,29,472.49,16.29275862,1,7,0,1,0
2020,7,11,398.31,50,9,348.31,38.70111111,5,1,0,2,0
2020,3,16,1397,200,9,1197,133,5,1,0,1,0
2020,10,23,249,249,11,0,0,1,3,0,1,0
2020,11,19,1148,100,12,1048,87.33333333,5,0,0,2,0
2020,7,15,1558.24,100,4,1458.24,364.56,4,6,0,2,0
2020,6,21,489,150,4,339,84.75,1,0,0,2,1
2020,5,19,199,199,11,0,0,1,1,0,2,0
2020,7,5,199,199,11,0,0,1,7,0,1,0
2020,7,13,1328,1328,10,0,0,1,4,0,2,0
2020,2,23,1377,200,9,1177,130.7777778,5,0,0,1,0
2020,9,15,199,199,108,0,0,1,1,0,2,0
2020,12,24,449,449,4,0,0,1,1,0,2,0
2020,1,24,1328,150,10,1178,117.8,4,0,0,2,0
2020,4,4,1966.9,200,11,1766.9,160.6272727,1,1,0,1,0
2020,8,3,1148,175,4,973,243.25,1,0,0,1,1
2020,12,16,1494.25,1494.25,0,0,0,1,0,0,1,0
2020,6,13,268.3,268.3,9,0,0,1,1,0,2,0
2020,10,11,1221.06,1221.06,6,0,0,1,0,0,1,0
2020,8,22,1221.06,125,9,1096.06,121.7844444,4,0,0,1,0
2020,7,5,1490.6,125,12,1365.6,113.8,4,6,0,1,0
2020,3,15,1588.03,1588.03,6,0,0,1,0,0,1,0
2020,6,10,199,199,108,0,0,1,1,0,1,0
2020,10,16,1235.66,150,6,1085.66,180.9433333,5,0,0,1,0
2020,4,8,268.3,268.3,13.2,0,0,1,0,0,2,0
2020,3,16,1377,150,8.5,1227,144.3529412,4,0,0,2,0
2020,4,2,1377,150,8.5,1227,144.3529412,4,0,0,2,0
2020,3,13,1437.56,200,5.5,1237.56,225.0109091,3,0,0,1,0
2020,8,6,1348,150,10,1198,119.8,4,0,0,2,0
2020,3,6,1215.42,125,9,1090.42,121.1577778,4,0,0,2,0
2020,6,11,269.54,269.54,12,0,0,1,0,0,2,0
2020,6,4,1048,1048,6,0,0,1,0,0,2,0
2020,4,6,1221.06,1221.06,6,0,0,1,7,0,1,0
2020,4,12,499,499,6,0,0,1,3,0,1,0
2020,7,1,1221.06,1221.06,6,0,0,1,0,0,1,0
2020,9,21,1128,100,8.5,1028,120.9411765,1,4,0,2,0
2020,5,17,1411,100,11,1311,119.1818182,5,5,0,2,0
2020,5,13,1707.1,125,11,1582.1,143.8272727,3,0,0,2,0
2020,4,11,1598.85,200,4,1398.85,349.7125,4,6,0,1,0
2020,9,5,941.8,30,22,911.8,41.44545455,3,0,0,2,0
2020,11,24,941.8,30,5.5,911.8,165.7818182,4,1,0,1,0
2020,5,22,924,75,5.5,849,154.3636364,1,0,0,1,0
2020,8,13,967.99,30,4,937.99,234.4975,5,1,0,2,0
2020,12,6,1221.06,100,17,1121.06,65.94470588,1,0,0,1,0
2020,9,19,1348,100,10,1248,124.8,1,0,0,1,0
2020,1,22,1781.8,325,5.5,1456.8,264.8727273,4,5,0,2,0
2020,6,14,1600.66,100,5.5,1500.66,272.8472727,5,0,0,1,0
2020,8,17,859,0,5.5,859,156.1818182,4,0,0,2,0
2020,5,12,1726,175,10,1551,155.1,5,0,0,1,0
2020,4,13,1328,275,5.5,1053,191.4545455,4,0,0,1,0
2020,11,19,330,330,6,0,0,1,0,0,1,0
2020,10,7,265.19,265.19,12,0,0,1,5,0,2,0
2020,4,25,800.83,50,21,750.83,35.75380952,1,0,0,2,0
2020,9,13,199,199,108,0,0,1,6,0,1,0
2020,6,7,1666,300,10.5,1366,130.0952381,5,1,0,1,0
2020,3,6,1808.99,100,5.83,1708.99,293.1372213,5,0,0,2,0
2020,5,12,1707.1,1707.1,6,0,0,1,0,0,1,0
2020,4,14,199,199,108,0,0,1,0,0,2,0
2020,7,1,1546,1546,6,0,0,1,0,0,1,0
2020,4,3,269.54,269.54,13.2,0,0,1,6,0,2,0
2020,11,2,249,249,6,0,0,1,7,0,1,0
2020,5,1,2268.4,2268.4,9,0,0,1,6,0,2,0
2020,4,17,264.56,264.56,6,0,0,1,1,0,2,0
2020,8,19,2515.73,400,5.5,2115.73,384.6781818,5,1,0,2,0
